@Annie
                 | StunSlash
                 | DoubleSlash
                 | HardSlash
                 | Thrust
                 | CrossSlash
           Smash |
                 | SwallowSwing
                 | ThunderThrust
                 | Heaven/Hell
                 | WheelSlash
                 | WillowBranch
         Deflect |
       BearCrush |
         DeadEnd |
                 | HeadWind
                 | TripleThrust
                 | Kasumi
                 | NoMoment
                 | GaleSlash
                 | 2GaleSlash
                 | Still Stream
                 | TurbidCurrent
                 | CrossDeflect
      RisingNova |
   RosarioImpale |
                 | Haze-to-Wheel
                 | LifeSprinkler
                 | Godless

                 | MoonlightCut
   ShadowCounter |
                 | Blizzard
                 | Tres Flores

            Kick |
                 | AirThrow
            Chop |
         Sliding |
   RollingCradle |
        SwayBack |
                 | Fist
        Backfist |
                 | CrushBeat
                 | Rotation Kick
                 | KO Throw
          Suplex |
                 | GiantSwing
                 | GoldHand
    BabelCrumble |
                 | TriangleKick
                 | OgreRun
                 | Scuffle
     LocomotionG |
      DragonTurn |
                 | Lastshot
                 | Corkscrew
      SkyTwister |

@Asellus
 StunSlash |
     DoubleSlash |
       HardSlash |
          Thrust |
                 | CrossSlash
                 | Smash
    SwallowSwing |
   ThunderThrust |
                 | Heaven/Hell
      WheelSlash |
                 | WillowBranch
         Deflect |
                 | BearCrush
         DeadEnd |
                 | HeadWind
    TripleThrust |
          Kasumi |
        NoMoment |
       GaleSlash |
                 | 2GaleSlash
                 | Still Stream
                 | TurbidCurrent
                 | CrossDeflect
      RisingNova |
   RosarioImpale |
   Haze-to-Wheel |
                 | LifeSprinkler
         Godless |

    MoonlightCut |
   ShadowCounter |
                 | Blizzard
                 | Tres Flores

            Kick |
        AirThrow |
            Chop |
         Sliding |
   RollingCradle |
                 | SwayBack
            Fist |
                 | Backfist
                 | CrushBeat
   Rotation Kick |
                 | KO Throw
          Suplex |
                 | GiantSwing
                 | GoldHand
                 | BabelCrumble
    TriangleKick |
         OgreRun |
                 | Scuffle
                 | LocomotionG
      DragonTurn |
                 | Lastshot
       Corkscrew |
                 | SkyTwister

@Blue 
       StunSlash |
     DoubleSlash |
       HardSlash |
          Thrust |
                 | CrossSlash
           Smash |
